standard	Stipendien	Die Studienleistung soll das wesentliche Merkmal bei der Vergabe von Stipendien sein.	
standard	BAföG	Das BAföG soll elternunabhängig ausgezahlt werden.	
standard	Studiengebühren	Studiengebühren sind in allen Formen abzulehnen.	
standard	Mindestlohn für Praktika	Der Mindestlohn soll für studentische Praktika gelten.	
standard	Wohnheimplatzvergabe	Studierende aus dem Ausland sollen bei der Wohnheimplatzvergabe bevorzugt behandelt werden.	
standard	Wohnheimsmiete	Die Studierendenwohnheimsplätze sollen aus dem Mietanteil des BAföG bezahlbar sein.	Der Mietanteil beim BAföG beträgt momentan 224€.
standard	Kinderbetreuung	Das KIT soll Betreuungsmöglichkeiten, z.B. eine Kinderkrippe und einen Kindergarten für studierende Eltern anbieten.	
standard	fzs	Die Studierendenschaft soll Mitglied im fzs (freier zusammenschluss von studentInnenschaften) werden.	"Der fzs ist ein deutschlandweiter Dachverband von Studierendenvertretungen (<a href="http://www.fzs.de" target="_blank">www.fzs.de</a>)"
standard	Vorlesungsmaterialien	Alle Vorlesungsmaterialien sollen öffentlich, kostenfrei und digital zur Verfügung gestellt werden.	
standard	Open Source-Software	Das KIT sollte bevorzugt frei verfügbare Software (Open Source) anstelle von Produkten kommerzieller Anbieter verwenden und den Studierenden bereitstellen.	
standard	Open Access-Plattform	Forschungsergebnisse sollen grundsätzlich über eine Open-Access-Plattform öffentlich und kostenfrei zur Verfügung gestellt werden.	
standard	Maximalstudienzeit	Die Maximalstudienzeit in den Prüfungsordnungen soll abgeschafft werden.	
standard	Geschlechterquote	Professuren sollen über eine verbindliche Geschlechterquote besetzt werden.	
standard	Veganes Essen	In der Mensa soll jeden Tag ein veganes Gericht angeboten werden. Dafür soll im Bedarfsfall ein Fleischgericht ersetzt werden.	
standard	Landesweites Studiticket	Ein durch einen Solidarbeitrag finanziertes bundeslandweites Feierabend- und Wochenendticket soll eingeführt werden.	
standard	Bildungsstreik	Der AStA soll sich am bundesweiten Bildungsstreik beteiligen.	Der Aufruf zum Bildungsstreik 2014 ist <a href="http://www.uni-erfurt.de/fileadmin/public-docs/Studierendenrat/pdf-Dokumente/Resolution_Bildungsstreik_2014.pdf" target="_blank">hier</a> zu finden
standard	Exzellenzinitiative	Das KIT soll sich bei der nächsten Runde der Exzellenzinitiative oder vergleichbaren Förderprogrammen wieder engagieren.	
standard	Kameraüberwachung	Wege und Freiplätze auf dem Campus sollen verstärkt kameraüberwacht werden.	
standard	Sexismus	Sexismus auf dem Campus ist ein aktuelles Problem, welches aktiv bekämpft werden muss.	
standard	Umweltschutzpapier	An Universitätsdruckern soll ausschließlich Umweltschutz-Papier verwendet werden.	
standard	Karrieremesse	Das KIT soll keine konkurrierende Veranstaltungen zu etablierten studentisch organisierten Veranstaltungen (z.B. Karrieremesse) durchführen.	
standard	Raum der Religionen	Das KIT soll einen geeigneten Raum zur Religionsausübung zur Verfügung stellen.	
standard	Politische Bildung	Der AStA soll mehr Geld für Aktionen zur politischen Bildung der Studierenden ausgeben.	
standard	Werbung in der Mensa	Hochschulexterne Werbung in der Mensa soll unterbleiben.	
standard	Drittmittel	Die Universität soll sich vermehrt um Drittmittel aus der freien Wirtschaft bemühen.		
standard	Hörsaalbenennung	Hörsäle sollen nach einem Unternehmen benannt werden dürfen, wenn dieses die Universität finanziell oder materiell unterstützen.	
standard	Raumvergabe	Es ist wichtiger, zusätzliche Lernräume am KIT zu schaffen, als studentischen Initiativen Räume zur Verfügung zu stellen.	
standard	Zivilklausel	Am KIT soll eine verbindliche Zivilklausel eingeführt werden.	"Erklärung zur Zivilklausel in der <a href="http://de.wikipedia.org/wiki/Zivilklausel" target="_blank">Wikipedia</a>"
standard	AStA-Referate	Der Arbeitsaufwand eines AStA-Referats soll das Ehrenamt (14 Stunden je Woche) nicht überschreiten.	Der momentane Arbeitsaufwand eines AStA-Referenten ist deutlich höher.
standard	Politische Arbeit	Der AStA soll sich in seiner politischen Arbeit auf hochschulpolitische Themen beschränken.	
standard	AStA-Werbemittel	Der AStA soll Eigenwerbemittel, z.B. bedruckte Stofftaschen verteilen.	
beitrag	Beiträge	5,99€ pro Studierendem je Semester sind für die Aufgaben der Studierendenschaft (Fachschaften und AStA)	Der Studierendenschaftsbeitrag am KIT beträgt ab dem kommenden Wintersemester 5,99€
